ID_fat_studio_det,id_fatt_studio,articolo,qta,prezzo,data_consegna
478,479,38,52720,0.3450,"06/04/18 00:00:00"
479,480,59,750,4.9300,"06/11/18 00:00:00"
480,481,184,26100,0.4600,"06/06/18 00:00:00"
481,482,38,55260,0.3450,"06/11/18 00:00:00"
482,483,33,2000,6.8900,"06/14/18 00:00:00"
483,484,150,2500,12.1000,"06/14/18 00:00:00"
484,485,38,24140,0.3450,"06/12/18 00:00:00"
485,486,184,26080,0.4600,"06/12/18 00:00:00"
486,487,38,56040,0.3450,"06/18/18 00:00:00"
487,488,21,5000,0.7700,"06/19/18 00:00:00"
488,489,33,10000,6.1500,"06/21/18 00:00:00"
489,490,184,26860,0.4600,"06/19/18 00:00:00"
490,491,38,28740,0.3450,"06/19/18 00:00:00"
491,492,38,27460,0.3450,"06/25/18 00:00:00"
492,493,38,28740,0.3450,"06/26/18 00:00:00"
493,494,184,26320,0.4600,"06/26/18 00:00:00"
494,495,38,28680,0.3450,"06/27/18 00:00:00"
495,496,38,28720,0.3450,"07/02/18 00:00:00"
496,497,38,27980,0.3450,"07/03/18 00:00:00"
497,498,8,25310,0.4400,"07/04/18 00:00:00"
498,499,38,26380,0.3450,"07/04/18 00:00:00"
499,500,38,28660,0.3450,"07/09/18 00:00:00"
500,501,150,1999,12.7000,"07/13/18 00:00:00"
501,502,8,25860,0.4400,"07/11/18 00:00:00"
502,503,38,28400,0.3450,"07/10/18 00:00:00"
503,504,38,28040,0.3450,"07/11/18 00:00:00"
504,505,46,150,5.1000,"07/16/18 00:00:00"
505,506,38,28640,0.3450,"07/16/18 00:00:00"
506,507,38,26420,0.3450,"07/17/18 00:00:00"
507,508,8,25815,0.4400,"07/18/18 00:00:00"
508,509,38,28700,0.3450,"07/18/18 00:00:00"
509,510,33,2000,6.4300,"07/25/18 00:00:00"
510,511,21,5000,0.7700,"07/24/18 00:00:00"
511,512,38,50000,0.3450,"07/24/18 00:00:00"
512,513,8,26130,0.4400,"07/25/18 00:00:00"
513,514,38,28720,0.3450,"07/25/18 00:00:00"
514,515,38,28780,0.3450,"07/30/18 00:00:00"
515,516,45,5000,2.9800,"08/01/18 00:00:00"
516,517,38,55140,0.3450,"07/31/18 00:00:00"
517,518,33,1000,6.5000,"08/02/18 00:00:00"
518,519,8,25330,0.4400,"08/01/18 00:00:00"
519,520,46,200,5.1000,"08/06/18 00:00:00"
520,521,38,29220,0.3450,"08/06/18 00:00:00"
521,522,38,28200,0.3450,"08/07/18 00:00:00"
522,523,33,10000,6.0800,"08/09/18 00:00:00"
523,524,8,25630,0.4400,"08/08/18 00:00:00"
524,525,38,26240,0.3450,"08/08/18 00:00:00"
