id_fattura,confermaordine,n_fat,data_fat,nota_acr,articolo,qta,prezzo,iva_perc,data_consegna,compilato,fatturata
12753,7574,10,"04/10/25 00:00:00",0,180,1200,1.5500,0,"04/10/25 00:00:00",1,1
12754,7574,2,"05/02/25 00:00:00",0,180,4200,1.5500,0,"05/02/25 00:00:00",1,1
12755,7574,8,"05/08/25 00:00:00",0,180,4200,1.5500,0,"05/08/25 00:00:00",1,1
12756,7574,15,"05/15/25 00:00:00",0,180,4200,1.5500,0,"05/15/25 00:00:00",1,1
12757,7575,14,"04/14/25 00:00:00",0,22,24108,1.2400,0,"04/14/25 00:00:00",1,1
12758,7575,16,"04/16/25 00:00:00",0,22,24224,1.2400,0,"04/16/25 00:00:00",1,1
12759,7576,26,"06/26/25 00:00:00",0,10,24000,2.6250,0,"06/26/25 00:00:00",1,1
12760,7575,15,"04/15/25 00:00:00",0,22,24262,1.2400,0,"04/15/25 00:00:00",1,1
12761,7575,14,"04/14/25 00:00:00",0,22,23664,1.2400,0,"04/14/25 00:00:00",1,1
12762,7574,22,"05/22/25 00:00:00",0,180,4200,1.5500,0,"05/22/25 00:00:00",1,1
12763,7574,29,"05/29/25 00:00:00",0,180,3000,1.5500,0,"05/29/25 00:00:00",1,1
12764,7577,22,"04/22/25 00:00:00",0,22,23491,1.2000,0,"04/22/25 00:00:00",1,1
12765,7577,24,"04/24/25 00:00:00",0,22,22816,1.2000,0,"04/24/25 00:00:00",1,1
12766,7577,26,"04/26/25 00:00:00",0,22,22392,1.2000,0,"04/26/25 00:00:00",1,1
12767,7577,27,"04/27/25 00:00:00",0,22,24012,1.2000,0,"04/27/25 00:00:00",1,1
12768,7578,30,"04/30/25 00:00:00",0,54,4800,7.8500,0,"04/30/25 00:00:00",1,1
12769,7579,28,"05/28/25 00:00:00",0,10,24000,2.4600,0,"05/28/25 00:00:00",1,1
12770,7579,16,"06/16/25 00:00:00",0,10,23750,2.4600,0,"06/16/25 00:00:00",1,1
12771,7579,30,"06/30/25 00:00:00",0,10,24000,2.4600,0,"06/30/25 00:00:00",1,1
12772,7580,9,"05/09/25 00:00:00",0,92,20279,4.2500,0,"05/09/25 00:00:00",1,1
12773,7581,5,"06/05/25 00:00:00",0,223,1000,8.0000,0,"06/05/25 00:00:00",1,1
12774,7585,9,"05/09/25 00:00:00",0,213,1000,1.1000,0,"05/09/25 00:00:00",1,1
12775,7586,30,"05/30/25 00:00:00",0,131,18818,4.0500,0,"05/30/25 00:00:00",1,1
12776,7588,9,"05/09/25 00:00:00",0,228,342,16.6500,0,"05/09/25 00:00:00",1,1
12777,7589,19,"05/19/25 00:00:00",0,54,4800,7.6500,0,"05/19/25 00:00:00",1,1
12778,7591,28,"05/28/25 00:00:00",0,112,10000,1.4800,0,"05/28/25 00:00:00",1,1
12779,7592,5,"06/05/25 00:00:00",0,180,3000,1.5500,0,"06/05/25 00:00:00",1,1
