id_articolo,nome_articolo,unita_misura,famiglia,tipologia
158,"PERAIL OFFCUTS - RITAGLI DI PERAIL","KG","CASEARI","TRADIZIONALE"
159,"SHEEP WHEY POWDER - SIERO OVINO IN  POLVERE",,"CASEARI","TRADIZIONALE"
161,"TYPE CHEDDAR BLOCS- TYPE CHEDDAR IN BLOCCHI","KG","CASEARI","TRADIZIONALE"
163,"ORGANIC BIG BELLY - PANCETTONE","KG","CARNE SUINA","BIO"
164,"CREAMPOWDER 55% - PANNA IN PLV.55%","KG","CASEARI","TRADIZIONALE"
165,"BERGKAESE OFFCUTS - RITAGLI DI BERGKAESE","KG","CASEARI","TRADIZIONALE"
166,"CREAM POWDER 55%-PANNA IN POLVERE 55%",,"CASEARI","TRADIZIONALE"
168,"MILK 0% - LATTE 0%","KG","LATTE","TRADIZIONALE"
169,"SWEET WHEY PERMEATE-PERMEATO DI SIERO IN POLVERE","KG","POLVERE LATTE","TRADIZIONALE"
170,"LATTE DI CAPRA BIO ITALIANO","KG","LATTE","BIO"
171,"SKIMMED MILK - LATTE SCREMATO","KG","LATTE","TRADIZIONALE"
174,"PROTEINE DEL LATTE 85% - MILK PROTEINS 85%","KG","POLVERE LATTE","TRADIZIONALE"
176,"ORGANIC BEEF TRIMMING 80/20","KG","CARNE BOVINA","BIO"
178,"SOW MEAT - GENERAL CUTS","KG","CARNE SUINA","BIO"
179,"VANILLA PODS - BACCHE DI VANIGLIA","KG","AROMI","TRADIZIONALE"
180,"RICOTTA","KG","CASEARI","TRADIZIONALE"
181,"LATTE MAGRO PASTORIZZATO - PAST. SKIMMED MILK","KG","LATTE","TRADIZIONALE"
184,"ORGANIC PASTEURIZED MILK - INTERO PASTORIZZATO","KG","LATTE","BIO"
185,"ORGANIC BEEF EYE OF ROUND - MAGATELLO BIO","KG","CARNE BOVINA","BIO"
48,"CONDENSED MILK - LATTE CONDENSATO","KG","LATTE","TRADIZIONALE"
186,"BEEF TRIMMING 70/30","KG","CARNE BOVINA","BIO"
187,"HEART OF THE TOPSIDE PAD","KG","CARNE BOVINA","BIO"
188,"FESA BOVINA BIO PAD","KG","CARNE BOVINA","BIO"
190,"MAGATELLO BOVINO BIO PAD","KG","CARNE BOVINA","BIO"
192,"ORGANIC SWEET WHEY POWDER-SIERO IN PLV BIO.","KG","CASEARI","BIO"
193,"PASTEURIZED MILK WITH NATURAL FATS - LATTE PASTOR","KG","LATTE","TRADIZIONALE"
194,"BELLY STRIPS","KG","CARNE SUINA","BIO"
196,"MILKPROTEINS-PROTEINE DEL LATTE","KG","POLVERE LATTE","TRADIZIONALE"
198,"MILK PROTEINS-PROTEINE DEL LATTE MPC","KG","CASEARI","TRADIZIONALE"
199,"MASCARPONE POWDER-Mascarpone in polvere 75%","kg","CASEARI","TRADIZIONALE"
200,"ORGANIC PASTEURIZED MILK WITH NATURAL FATS","KG","LATTE","BIO"
201,"BEEF SILVERSIDE PAD","KG","CARNE BOVINA","BIO"
202,"ORGANIC BUTTER CHEESE","KG","CASEARI","BIO"
204,"PASTEURIZED MILK - LATTE PASTORIZZATO","KG","LATTE","TRADIZIONALE"
