id_conferma,compratore,venditore,qta,prezzo_acq,articolo,n_conf,data_conf,prezzo_vend,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc,condizioni_pag_venditore
38,450,26,1000,5.7200,33,"23","04/29/15 00:00:00",6.0000,"CHEF SERVICE IN FORLI'  - Italy",2,"1O  kg blocs. Pagamento 3O GG RIBA netto data fattura.",0,0,0,0,
33,66,236,393,9.8000,145,"19","03/31/15 00:00:00",10.8000,"lavezzola",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG",0,1,0,0,
34,66,236,1227,9.8000,145,"20","03/31/15 00:00:00",10.8000,"lavezzola",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG, if the weight range won't be respected the goods will be rejected",0,1,0,0,
35,66,236,1196,9.8000,145,"21","04/15/15 00:00:00",10.8000,"LAVEZZOLA",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG, if the weight range won't be respected the goods will be rejected",0,1,0,0,
37,80,238,500,8.2000,139,"22","04/20/15 00:00:00",9.2000,"SAN GIOVANNI DEL DOSSO, MANTOVA",3,"500 KG DI FESE BOVINE CONGELATE, IL PREZZO DI 8,20 €KG E' SCONTATO DELL'1% VISTO IL PAGAMENTO ANTICIPATO",0,1,0,0,
137,15,62,17000,4.8500,33,"87","02/19/16 00:00:00",4.9000,"GROCONTINENTAL , UK",1,,0,0,0,0,
146,439,12,25000,0.4850,37,"95","03/22/16 00:00:00",0.5300,"Via Filadelfia, 220, 10137 Torino",14,"ORGANIC RAW MILK FROM HUNGARY, DELIVERY ABSOLUTELY WITHIN 11 AM.
Bacterial charges should be within the Italian legal limit.",0,1,0,0,
141,36,33,15000,0.5150,37,"91","03/09/16 00:00:00",0.5300,"BAGNOLO SAN VITO (MN)",1,"LATTE CRUDO BIOLOGICO NAZIONALE.",0,1,0,0,
163,444,248,25000,0.2300,38,"106","05/05/16 00:00:00",0.2700,"VIA DI BICCIANO 29/A - 52010 TALLA (AR)",3,"HU ORIGIN FRESH RAW MILK, INVOICING WITH  AVERAGE OF THE WEIGHBRIDGES.",0,1,0,0,
144,149,221,1000,3.8900,45,"93","03/14/16 00:00:00",4.1500,"PONTE SAN MARCO, BS - ITALIE",2,"Pagamento 30 GG.Riba netto data fattura.",0,0,0,0,
145,37,188,1000,5.5500,59,"94","03/15/16 00:00:00",5.8800,"PADOVA , Italie",2,"Pagamento Riba 30 GG.netto data fattura.",0,1,0,0,
147,343,16,100000,0.2150,38,"96","03/24/16 00:00:00",0.2700,"Via Provinciale 17 -12050 Bosia (CN)",3,"LATTE CRUDO TEDESCO - GERMAN ORIGIN RAW MILK.",0,1,0,0,
151,149,264,825,5.6500,59,"97","04/08/16 00:00:00",5.9000,"PONTE SAN MARCO, Brescia - Italy",2,,0,0,0,0,
39,71,198,24000,3.4600,45,"24","05/11/15 00:00:00",3.5200,"37041 ALBAREDO D'ADIGE (VR), ITALY",1,,0,1,0,0,
32,66,236,701,9.8000,145,"18","03/24/15 00:00:00",10.8000,"lavezzola",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG",0,1,0,0,
40,149,198,1000,3.9800,45,"25","05/12/15 00:00:00",4.2500,"25011 PONTE SAN MARCO, Brescia - Italy",14,,0,1,0,0,
41,39,26,2000,5.4000,33,"26","05/13/15 00:00:00",5.7500,"VARESE, Italy",1,,0,1,0,0,
43,62,77,10000,0.5600,37,"27","05/19/15 00:00:00",0.5900,"Sant'Ambrogio di Valpolicella VR - località Cà Verde",1,"Latte crudo fresco - certificato Biologico. Percentuali grasso/proteine conforme reg CE 834/07 art.29 Reg. CE889/08 reg- CE 853/04. Il fornitore non è equipaggiato di cisterne per il prelevamento del latte con pompa a spinta.",1,0,0,0,
48,2,12,21000,0.5200,37,"29","06/01/15 00:00:00",0.5800,"	Via Ippolito Nievo, 23, Ramuscello PN",12,"Hungarian origin Organic raw milk, delivery absolutely within 6 o'clock in the morning. - Latte BIO Ungherese, consegna tassativamente entro le ore 6 di mattina.",0,1,0,0,
44,80,236,832,8.8000,139,"28","05/26/15 00:00:00",10.0000,"SAN GIOVANNI DEL DOSSO - MANTOVA",1,"AROUND 500 KG OF FRESH ORGANIC BEEF TOPSIDE, WEIGHT RANGE 4-8 KG,
THE DELIVERY DATE IS JUST AN INDICATION",0,1,0,0,
49,364,245,500,7.6200,14,"30","06/04/15 00:00:00",7.9000,"TAVERNERIO, Italy",2,"frozen legs as from Spec / Prosciutti BIO congelati come da Scheda T.trasmessa.
PAGAMENTO 30 GG.RIBA Netto dalla data di carico.",0,0,0,0,
332,534,251,750,4.2000,45,"242","06/07/17 00:00:00",4.7000,"81369 München",15,"DELIVERY ADDRESS : 
Del Fiore Gelato Manufaktur
Flößergasse 2
81369 München",0,1,0,0,
315,1,265,25000,0.4200,8,"230","04/27/17 00:00:00",0.4500,"A-5252 Aspach Wildenauerstraße 11",14,"Organic Pasteurized milk 3,5% - invoicing with average value. Latte bio pastorizzato 3,5% - fatturazione con media valori.",1,0,0,0,
316,186,221,1000,4.4500,45,"231","05/02/17 00:00:00",4.6500,"TRUCAZZANO, Milano - Italie",2,"Pagamento, RIBA  3O  GG.netto data fattura.",0,1,0,0,
317,1,265,100000,0.4200,8,"232","05/04/17 00:00:00",0.4500,"A-5252 Aspach Wildenauerstraße 11",14,"Organic Pasteurized milk 3,5% - invoicing with average value. Latte bio pastorizzato 3,5% - fatturazione con media valori.",1,0,0,0,
324,66,250,1000,11.9000,150,"235","05/10/17 00:00:00",12.7000,"lavezzola",1,"1000 KG OF FROZEN TURKEY BREAST - ORGANIC",0,1,0,0,
323,37,26,1000,5.7800,33,"234","05/09/17 00:00:00",5.9800,"PADOVA, Italy",2,"Pagamento, 30 GG Riba netto data fattura.",0,0,0,0,
626,80,13,750,11.2300,188,"503","01/02/19 00:00:00",12.1800,"SAN GIOVANNI DEL DOSSO",13,"FESA BOVINA BIO PAD CONGELATA - BOVINO ADULTO >24 MESI",0,1,0,0,
325,1,265,25000,0.4200,8,"236","05/11/17 00:00:00",0.4500,"A-5252 Aspach Wildenauerstraße 11",14,"Organic Pasteurized milk 3,5% - invoicing with average value. Latte bio pastorizzato 3,5% - fatturazione con media valori.",1,0,0,0,
328,1,265,100000,0.4200,8,"239","05/22/17 00:00:00",0.4500,"A-5252 Aspach Wildenauerstraße 11",14,"Organic Pasteurized milk 3,5% - invoicing with average value. Latte bio pastorizzato 3,5% - fatturazione con media valori.",1,0,0,0,
152,118,77,6300,0.5000,37,"98","04/11/16 00:00:00",0.5800,"VIA DELLE FOSSE, 10 - 37050  VALLESE DI OPPEANO (VR)",1,"Latte crudo fresco - certificato Biologico. Percentuali grasso/proteine conforme reg
CE 834/07 art.29 Reg. CE889/08 reg- CE 853/04. Il fornitore non è equipaggiato di
cisterne per il prelevamento del latte con pompa a spinta.",1,0,0,0,
153,465,259,50000,0.1700,38,"99","04/19/16 00:00:00",0.2000,"Rustigazzo 29018 - Lugagnano Val d’Arda, Piacenza",1,"latte crudo Tedesco - German origin raw milk.",0,1,0,0,
156,354,265,26000,0.4200,37,"100","04/21/16 00:00:00",0.5100,"Monguzzo(CO)",2,"latte BIO Austriaco, pagamento 30 giorni data carico Ri.Ba, scadenza il 31/05.",0,1,0,0,
142,487,77,3000,0.5600,37,"92","03/10/16 00:00:00",0.6400,"VIA DELLE FOSSE NR 10 - 37050 VALLESE DI OPPEANO (VR)",3,"Latte crudo fresco - certificato Biologico. Percentuali grasso/proteine conforme reg CE 834/07 art.29 Reg. CE889/08 reg- CE 853/04. Il fornitore non è equipaggiato di cisterne per il prelevamento del latte con pompa a spinta.",1,0,0,0,
159,37,246,1000,3.9800,45,"103","04/26/16 00:00:00",4.2000,"PADOVA",2,"Pagamento RIBA 30 GG.netto data fattura.",0,1,0,0,
162,93,268,1200,10.2000,14,"105","05/04/16 00:00:00",10.8500,"MALMEDY",3,"1200 KG OF FRESH ORGANIC PORK LEGS, DEBONED, RIND OFF, CLOSE CUT AS REQUIRED BY THE CUSTOMER - LOADING 11/05 FROM H. 15,00 UP TO 17,00",1,0,0,0,
171,93,268,1500,9.6100,14,"114","05/20/16 00:00:00",10.8500,"MALMEDY",12,"1500 KG OF FRESH ORGANIC PORK LEGS, DEBONED, RIND OFF BUT WITH THE FAT ON, CLOSE CUT AS REQUIRED BY THE CUSTOMER",0,1,0,0,
175,93,250,2000,12.7000,150,"118","05/27/16 00:00:00",13.5000,"ripalta cremasca",1,"2000 kg  OF FROZEN TURKEY BREAST - DELIVERY DATE IS JUST AN INDIACTION FOR OUR PROGRAM, LOADING DATE 01/06/2016",0,1,0,0,
6,37,198,1000,3.9900,45,"2","11/07/14 00:00:00",4.3000,"PADOVA",1,,0,1,0,0,
304,37,26,1000,5.7000,33,"222","03/15/17 00:00:00",5.8700,"PADOVA,  ITALY",2,"BURRO BIO 82% CONGELATO - ORGANIC BUTTER FROZEN.
25 KG BLOCS. 
Pagamento Riba 30 GG Netto data fattura.",0,0,0,0,
303,93,250,2000,11.9000,150,"221","03/14/17 00:00:00",12.7000,"RIPALTA CREMASCA",1,"2000 KG FROZEN ORGANIC TURKEY BREAST - DELIVERY DATES TO BE FINALLY CONFIRMED",0,1,0,0,
306,450,26,1000,5.6500,33,"224","03/30/17 00:00:00",6.0000,"CHEF SERVICE, FORLI - ITALY",2,"ORGANIC  BUTTER, 25 KG BLOCS.
Pagamento RIBA 30 gg.Netto data fattura.",0,0,0,0,
305,1,297,5000,0.5300,37,"223","03/16/17 00:00:00",0.5700,"Km. 16 Strada Provinciale Rivoltana, 20060 Truccazzano (MI)",1,"Latte Crudo Biologico. Carico dopo le ore 09.30",1,0,0,0,
307,1,297,30000,0.5300,37,"225","04/03/17 00:00:00",0.5700,"Km. 16 Strada Provinciale Rivoltana, 20060 Truccazzano (MI)",1,"Latte Crudo Biologico. Fatturazione con pesata cliente.",1,0,0,0,
308,66,250,1400,11.9000,150,"226","04/05/17 00:00:00",12.7000,"Via Dell'Industria 6/8 - 48011 Lavezzola, Ravenna - ITALY",1,"1400 kg if ORGANIC TURKEY BREAST FROZEN - delivered on PLASTI PALLETS",0,1,0,0,
313,535,301,100,470.0000,179,"229","04/27/17 00:00:00",490.0000,"20091 BRESSO",3,"DELIVERY DATE TO BE FINALLY CONFIRMED - AROUND BEGINNING OF WEEK 20",0,1,0,0,
